Act_Name, Year, File_Name,
Madhya Pradesh Adhosanrachna Vinidhan Nidhi Board Act, 2000,	
Madhya Pradesh Value Added Tax (Second Amendment) Act, 2007,	
Madhya Pradesh Niji Vishwavidyalaya (Sthapana Avam Sanchalan) Adhiniyam, 2007,	 2014_S_555.txt	 2012_S_182.txt	
Central Provinces and Berar Home Guards Act, 1947,	
Madhya Pradesh Appropriation (No. 2) Act, 2017,	
Madhya Pradesh Vilasita, Manoranjan,	 Amod Evam Vigyapan Kar (Sanshodhan) Adhiniyam	 2012	
Madhya Pradesh Panchayat Raj Avam Gram Swaraj Adhiniyam, 1993,	 2015_G_44.txt	 2013_S_226.txt	
Madhya Pradesh Upkar (Sanshodhan) Adhiniyam, 2012,	
Madhya Pradesh Regulation of Uses of Land Act, 1948,	
Madhya Pradesh Vibhagiya Janch (Sakshiyon Ka Hazir Karaya Jana Tatha Dastavejon Ka Pesh Karaya Jana) Adhiniyam, 1979,	
Madhya Pradesh Madarsa Board Act, 1998,	
Madhya Pradesh Co-operative Societies (Amendment) Act, 2011,	
Madhya Pradesh Van Upaj (Vyapar Viniyaman) Adhiniyam, 1969,	 1999_D_64.txt	 1997_S_537.txt	
Bhopal and Vindhya Pradesh (Courts) Act, 1950,	
Madhya Pradesh Vat Amendment (Validation) Act, 2017,	
Madhya Pradesh State Legislature (Delegation of Powers) Act, 1993,	
Madhya Pradesh Panchayat Raj Avam Gram Swaraj (Sanshodhan) Adhiniyam, 2011,	
Madhya Pradesh Land Survey Act, 1947,	
Madhya Pradesh Zila Yojana Samiti Adhiniyam, 1995,	 2016_R_105.txt	 2015_R_41.txt	 2011_A_40.txt	
Madhya Pradesh Shaskiya Sevak (Adhivarshiki-Ayu) Adhiniyam, 1967,	
Madhya Pradesh Appropriation (No. 4) Act, 2016,	
Madhya Pradesh Sugarcane (Purchase Tax) Act, 1961,	
Madhya Pradesh Indian Contract (Amendment) Act, 1938,	
Rajmata Vijaye Raje Scindia Krishi Vishwavidyalaya (Sanshodhan) Adhiniyam, 2012,	
Madhya Pradesh Karadhan Adhiniyam, 1982,	 1991_S_2.txt	 1991_C_10.txt	 1996_S_995.txt	 1989_S_255.txt	
Madhya Pradesh Luxury Tax (Hotel Tatha Vas Grihon Me Vilas Vastuon Par Kar Adhiniyam) Act, 1988,	
Madhya Pradesh Hotel Tatha Vas Grihon Me Vilas Vastuon Par Kar Adhiniyam, 1988,	
Madhya Pradesh Local Authorities Census Expenses Contribution Act, 1949,	
Madhya Pradesh Ayurvedic, Unani Tatha Prakritic Chikitsa Vyavasayi (Sanshodhan) Adhiniyam,	 2016	
Madhya Pradesh Appropriation (No. 3) Act, 2017,	
Madhya Pradesh Maa Sharda Devi Mandir Act, 2002,	
Madhya Pradesh Famine Relief Fund Act, 1937,	
Madhya Pradesh Nagariya Kshetron Ke Bhoomihin Vyakti (Pattadhriti Adhikaron Ka Pradan Kiya Jana) Sanshodhan Adhiniyam, 2013,	
Madhya Bharat Electricity (Special powers) Act, 1952,	
Madhya Pradesh (Milk Export) Control Order, 2002,	
Madhya Pradesh Niji Vyavsayik Shikshan Sanstha (Pravesh Ka Viniyaman Avam Shulk Ka Nirdharan) Adhiniyam, 2007,	 2014_S_555.txt	 2010_M_188.txt	
Code of Criminal Procedure (Madhya Pradesh Amendment) Act, 1978,	
Madhya Pradesh Rajkoshiya Uttardayitva Avam Budget Prabandhan Act, 2005,	
