ActName, ActYear, File Names
Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement (Maharashtra Amendment) Act, 2018
Bombay Entertainments Duty Act, 1923, 1974_J_1.txt, 2009_S_1294.txt
Maharashtra State Legislature Proceedings (Protection of Publication) Act, 1969
Maharashtra Finance Commission (Miscellaneous Provisions) Act, 1994
Maharashtra Entertainments Duty (Amendment) Act, 2014
Bombay Non-Agriculturists' Loans Act, 1928
Dr. Vishwanath Karad MIT World Peace University Act, 2016
Maharashtra Land Revenue Code (Amendment) Act, 2017
Bombay Lifts Act,1939
Maharashtra Village Panchayats (Amendment) and the Maharashtra Village Panchayats (Payment of Lumpsum Contribution by Factories in Lieu of Taxes) Rules (Repeal) Act, 2017
Maharashtra Municipal Corporations and Municipal Councils (Third Amendment) Act, 2012
Maharashtra Medical Council Act, 1965, 2013_S_397.txt, 2002_R_151.txt, 1998_T_36.txt, 2009_S_527.txt, 1996_A_170.txt
Bombay Entertainments Duty (Amendment) Act, 2001, 2009_S_1294.txt
Maharashtra University of Health Sciences (Amendment) Act, 2000
Bombay Entertainments Duty (Amendment) Act, 2003
Maharashtra State Council of Examinations Act, 1998
Maharashtra Tax on Entry of Motor Vehicles into Local Areas Act, 1987, 2016_S_244.txt
Maharashtra Slum Areas (Improvement, Clearance and Redevelopment) Act, 1971, 2018_C_8.txt, 2008_S_1058.txt, 2011_T_54.txt, 2016_S_82.txt, 2008_P_152.txt, 2010_L_14.txt, 2013_S_405.txt, 2005_S_809.txt
Bombay Khadi and Village Industries Act, 1960
Maharashtra Agricultural Produce Marketing (Development and Regulation) (Amendment) Act, 2008
Konkan Irrigation Development Corporation Act, 1997
Maharashtra Police (Second Amendment) Act, 2014
Bombay Merged Territories Miscellaneous Alienations Abolition Act, 1955, 1992_K_59.txt, 1984_A_28.txt, 1995_A_20.txt, 1992_C_65.txt, 1982_N_2.txt
Maharashtra Gunthewari Developments (Regularisation, Upgradation and Control) Act, 2001
Bombay Prevention of Begging Act, 1959, 2006_L_33.txt, 2005_U_148.txt
Maharashtra Land Revenue Code (Second Amendment) Act, 2016
							Maharashtra Control of Organised Crime Act, 1999
Maharashtra Ownership Flats (Regulation of the Promotion of Construction, Sale, Management and Transfer) (Amendment) Act, 2008
Maharashtra Forest Development (Tax on sale of forest-produce by Government of Forest Development Corporation) (Continuance) Act, 1983
Maharashtra Local Authority Members' Disqualification (Amendment) Act, 2016
Maharashtra Municipal Corporations (Amendment) Act, 2006
Maharashtra Tax Laws (Levy Amendment and Validation) Act, 2012
Maharashtra Appropriation (Vote on Account) Act, 2006
Maharashtra (Urban Areas) Protection and Preservation of Trees (Amendment) Act, 2016
Maharashtra Ownership Flats (Regulation of the Promotion of Construction, Sale, Management and Transfer) (Amendment) Act, 2005
Maharashtra National Law University (Amendment) Act, 2015
Maharashtra Kidney Transplantation Act, 1982
Maharashtra Industrial Development (Amendment) Act, 2013
Maharashtra Sale of Trees by Occupants belonging to Scheduled Tribes (Regulations) Act, 1969
Maharashtra Zilla Parishads and Panchayat Samitis (Amendment) Act, 2001
Maharashtra Krishna Valley Development Corporation Act, 1996
Maharashtra Cotton Seeds (Regulation of supply, distribution, sale and fixation of sale price) Act, 2009
Bombay Diseases of Animals Act, 1948
Bombay Reorganisation Act, 1960, 1964_P_24.txt, 1989_S_110.txt, 1975_C_19.txt, 1977_S_137.txt, 1969_B_17.txt, 1970_R_22.txt, 1986_S_181.txt, 1963_F_1.txt, 1986_U_5.txt, 1965_J_13.txt
Maharashtra Co-operative Societies (Second Amendment) Act, 2016
Maharashtra Secondary and Higher Secondary Education Boards Act, 1965, 2006_P_80.txt
Maharashtra Tax Laws (Levy, Amendment and Validation) Act, 1995
Maharashtra Municipal Corporations (Amendement) Act, 2016
Bombay Entertainments Duty (Amendment) Act, 2000
Maharashtra State Public Services (Reservation for Scheduled Castes, Scheduled Tribes, De-notified Tribes (Vimukta Jatis), Nomadic Tribes, Special Backward Category and Other Backward Classes) Act, 2001
Bombay Cotton Control Act, 1942
Maharashtra Tax Laws (Levy, Amendment and Validation) Act, 1997, 2003_S_585.txt
Maharashtra Land Revenue Code (Amendment) Act, 2001
Bombay State Reserve Police Force Act, 1951, 2001_J_64.txt, 1997_A_116.txt
Maharashtra Private Professional and Educational Institutions (Reservation of seats for admission for Scheduled Castes, Scheduled Tribes, De-notified Tribes (Vimukta Jatis), Nomadic Tribes and Other Backward Classes) Act, 2006
Bombay General Clauses Act, 1904, 1976_C_16.txt, 2010_T_19.txt, 1975_B_2.txt, 1978_S_76.txt, 1985_T_21.txt, 2014_M_107.txt, 1985_J_4.txt, 2008_S_517.txt, 1967_H_1.txt, 2010_S_498.txt, 1980_D_1.txt, 1996_T_60.txt, 1989_A_44.txt, 2008_T_68.txt, 2000_S_90.txt, 2017_K_96.txt, 2013_G_54.txt, 1953_P_2.txt, 1962_B_7.txt, 2017_I_4.txt, 2016_P_37.txt, 1974_M_7.txt, 1984_P_6.txt, 1998_L_2.txt, 1988_S_134.txt, 1970_P_15.txt
Code of Criminal Procedure (Maharashtra Amendment) Act, 2004
Maharashtra Educational Institutions (Prohibition of Capitation Fee) (Amendment) Act, 1996
Maharashtra Regulation of Marriage Bureaus and Registration of Marriage Act, 1998
Maharashtra Goods and Services Tax Act, 2017
Bombay Motor Vehicles (Taxation of Passengers) Act, 1958, 1999_S_679.txt
Maharashtra Appropriation Act, 2006
Maharashtra (Change of Short Titles of certain Bombay Acts) Act, 2011
Mahatma Phule Vastu Sangrahalaya, Poona, Act, 1968
Maharashtra District Planning Committees (Constitution and Functions) Act, 1998
Maharashtra Employees of Private Schools (Conditions of Services) Regulation Act, 1977
Maharashtra Water Resources Regulatory Authority (Amendment) Act, 2016
Maharashtra Co-operative Societies (Third Amendment) Act, 2007
Bombay Sales Tax and the Maharashtra Tax Laws (Levy, Amendment and Validation) (Amendment) Act, 1997
Mumbai Municipal Corporation (Amendment) Act, 2006
Maharashtra Vexatious Litigation (Prevention) Act, 1971, 1997_F_2.txt, 2003_G_50.txt
Maharashtra Municipal Councils, Nagar Panchayats and Industrial Townships (Amendment) Act, 2004
Bombay Relief Undertakings (Special Provisions) Act, 1958, 2005_G_30.txt, 1993_S_115.txt, 1986_D_28.txt, 1965_K_4.txt
Maharashtra Legislative Council (Chairman and Deputy Chairman) and the Maharashtra Legislative Assembly (Speaker and Deputy Speaker) Salaries and Allowances, the Maharashtra Ministers' Salaries and Allowances, the Maharashtra Legislature Members' Salaries and Allowances and the Leaders of Opposition in Maharashtra Legislature Salaries and Allowances (Amendment) Act, 2016
Maharashtra Tax Laws (Levy and Amendment) Act, 2013
Bombay Adjudication Proceedings (Transfer and Continuance) Act, 1947
Maharashtra Zilla Parishads and Panchayat Samitis (Second Amendment) Act, 2016
Maharashtra Slum Areas (Improvement, Clearance and Redevelopment) (Amendment) Act, 2011
Maharashtra Prevention of Dangerous Activities of Slumlords, Bootleggers, Drug-offenders and Dangerous Persons (Amendment) Act, 2007
Bombay Prevention of Fragmentation and Consolidation of Holdings Act, 1947, 1998_S_144.txt, 1958_T_21.txt, 1990_P_59.txt, 2000_M_305.txt, 2001_V_130.txt, 1986_S_9.txt
Bombay Local Fund Audit (Amendment) Act, 2011
Maharashtra Tax on Luxuries (Amendment) Act, 1994
Maharashtra Land Revenue Code (Fifth Amendment) Act, 2016
Bombay Village Panchayats and the Maharashtra Zilla Parishads and Panchayat Samitis (Amendment) Act, 2011
Bombay Seals Act, 1949
Bombay Primary Education Act, 1947, 2009_K_40.txt, 2003_M_174.txt
Maharashtra Fiscal Responsibility and Budgetary Management (Amendment) Act, 2006
Maharashtra Revenue Jurisdiction Act, 1876
Bombay Entertainments Duty (Second Amendment) Act, 2010
Bombay Non-Trading Corporations Act, 1959
Bombay Molasses (Control) Act, 1956
Maharashtra Land Revenue Code (Amendment) Act, 2016
Sanjay Ghodawat University, Kolhapur, Act, 2017
Bombay Personal Inams Abolition Act, 1952, 1966_N_12.txt, 1981_S_27.txt, 1979_G_19.txt, 1983_M_3.txt, 1959_T_38.txt, 1993_S_458.txt
Maharashtra Educational Institutions (Management) Act, 1976, 2005_R_1.txt
							Bombay Land Requisition Act, 1948
Eradication of Unfair Activities at Pandharpur Temples (for providing better facilities for worship) Act, 1980
Vidarbha Irrigation Development Corporation Act, 1997
Maharashtra Universities (Second Amendment) Act, 2013
Maharashtra Veterinary Practitioners Act, 1971, 2007_U_15.txt
Bombay Court-fees (Amendment) Act, 2011
Maharashtra Municipal Corporations and the Maharashtra Municipal Councils, Nagar Panchayats and Industrial Townships (Second Amendment) Act, 2015
Maharashtra Land Revenue Code (Second Amendment) Act, 2017
Maharashtra Gramdan Act, 1964
Maharashtra Nurses Act, 1966, 2010_H_43.txt
Bombay Village Panchayats Act, 1958, 1993_R_47.txt, 2016_S_82.txt, 1984_S_70.txt, 2006_S_502.txt, 1976_G_27.txt, 1980_R_42.txt, 1975_T_29.txt, 1983_R_21.txt, 1997_R_114.txt, 2010_B_50.txt
Maharashtra State Commission for Backward Classes (Amendment) Act, 2017
Bombay Prohibition Act, 1949, 1986_M_61.txt, 1990_S_16.txt, 1983_S_149.txt, 2013_R_81.txt, 1995_T_116.txt, 2003_B_79.txt, 1994_B_123.txt, 2003_M_47.txt, 1988_M_90.txt, 1998_P_37.txt, 1956_H_4.txt, 1989_P_41.txt, 2010_S_462.txt, 1976_S_154.txt, 1960_V_3.txt, 2009_D_81.txt, 1971_A_55.txt, 1965_M_27.txt, 1992_R_83.txt, 1988_C_62.txt, 1980_U_71.txt, 1992_L_14.txt, 1959_S_56.txt, 2006_N_16.txt, 1989_S_158.txt, 1963_S_83.txt, 2003_U_74.txt, 1962_S_116.txt, 1994_S_107.txt, 1964_S_44.txt, 2017_S_144.txt, 1963_A_6.txt, 2003_D_48.txt, 2003_A_30.txt, 2003_M_195.txt, 1972_M_6.txt, 2008_S_1049.txt, 1988_S_192.txt, 1965_S_135.txt, 1962_R_34.txt, 1994_S_423.txt, 2012_S_191.txt, 2013_S_394.txt, 1954_S_46.txt, 1996_S_621.txt
Bombay Public Trusts Act, 1950, 2017_Y_8.txt, 1995_T_85.txt, 2005_D_100.txt, 1966_C_43.txt, 1973_S_75.txt, 2006_S_507.txt, 2005_C_92.txt, 2004_A_167.txt, 2006_V_38.txt, 2000_M_343.txt, 2005_V_62.txt, 1968_C_10.txt, 1987_P_48.txt, 1998_S_8.txt, 1961_S_88.txt, 1976_D_32.txt, 2013_S_262.txt, 2010_R_113.txt, 2001_M_100.txt, 1994_T_60.txt, 2017_B_69.txt, 1996_S_1122.txt, 1985_G_9.txt, 1967_A_9.txt, 1994_C_65.txt, 2006_S_40.txt, 1966_H_8.txt, 2013_V_33.txt, 1985_C_10.txt, 1967_M_53.txt, 2011_B_23.txt, 2017_S_173.txt, 2007_A_17.txt, 1964_A_25.txt, 2001_M_275.txt, 2003_U_74.txt, 2005_L_14.txt, 1972_G_2.txt, 2001_S_958.txt, 2017_C_131.txt, 1959_M_9.txt, 2011_P_51.txt, 2010_B_31.txt, 2011_G_23.txt, 2010_V_28.txt, 1978_B_10.txt, 1993_R_101.txt, 1997_T_156.txt, 1975_S_18.txt, 1959_T_10.txt, 1995_B_28.txt, 1986_C_45.txt, 1990_W_2.txt, 1993_S_180.txt, 2013_D_13.txt, 1962_V_9.txt, 1954_R_17.txt, 1959_S_50.txt, 2017_C_71.txt, 1965_S_36.txt, 2006_S_487.txt, 1967_T_6.txt, 1995_T_156.txt, 2013_S_394.txt, 1975_T_65.txt, 2003_O_4.txt
Maharashtra Zilla Parishads and Panchayat Samitis and Maharashtra Jeevan Authority (Amendment) Act, 2001
Gandhi National Memorial Fund (Local Authorities Donations) Act, 1953
Maharashtra Transfer of Ownership of Minor Forest Produce in the Scheduled Areas and the Maharashtra Minor Forest Produce (Regulation of Trade) (Amendment) Act, 1997
Maharashtra Mineral Development (Creation and Utilisation) Fund Act, 2001
Bombay Steam-Vessels Act, 1864
Maharashtra Irrigation (Amendment) Act, 2004
Bombay Judicial Proceedings (Regulation of Reports) Act, 1955
Maharashtra Municipal Corporations and Municipal Councils (Amendment) Act, 2012
Bombay Gas Supply Act, 1939
Maharashtra Tax Laws (Levy and Amendment) Act, 1999
Maharashtra Marine Fishing Regulation (Amendment) Act, 2015
Bombay Money-lenders Act, 1946
Maharashtra (Vidarbha Region) Agricultural Debtors Relief Act, 1969
Maharashtra Agricultural Lands (Ceiling on Holdings) (Amendment) Act, 2011
Maharashtra Co-operative Societies (Third Amendment) Act, 2016
Maharashtra Horticulture Development Corporation Act, 1984
Bombay Sales of Motor Spirit Taxation (Gujarat Amendment) Act, 1984
Maharashtra Slum Areas (Improvement, Clearance and Redevelopment) (Amendment) Act, 2005
Maharashtra Universities (Amendment) Act, 2005
Maharashtra State Council for Occupational Therapy and Physiotherapy Act, 2002
Factories (Maharashtra Amendment) Act, 2015
Bombay Civil Courts (Amendment) Act, 2000
Maharashtra Appropriation (Excess Expenditure) Act, 2006
Maharashtra Zilla Parishads and Panchayat Samitis (Amendment) Act, 2010
Maharashtra Regional and Town Planning (Second Amendment) Act, 2015
Maharashtra Official Languages Act, 1964
Maharashtra (Second Supplementary) Appropriation Act, 2006
Bombay Sales Tax (Second Amendment) Act,2001
Bombay Aerial Ropeways Act, 1995
Maharashtra Groundwater (Regulation for Drinking Water Purposes) Act, 1993
Maharashtra Municipal Corporations and Municipal Councils (Third Amendment) Act, 2007
Bombay Cinemas (Regulation) Act, 1953, 1993_S_443.txt
Maharashtra Taxation Laws Amendment (Inapplicability of Limitation) Act, 1976
Maharashtra Municipal Councils, Nagar Panchayats and Industrial Townships (Amendment) Act, 2002
Maharashtra Mathadi, Hamal and Other Manual Workers (Regulation of Employment and Welfare) Act, 1969, 1995_S_527.txt, 2001_B_261.txt, 2016_P_37.txt, 2016_P_36.txt
Bombay Provincial Municipal Corporations (Amendment) Act, 2000
Maharashtra Departmental Inquires (Enforcement of Attendance of Witnesses and Production of Documents) Act, 1986
Maharashtra Project Affected Persons Rehabilitation (Amendment) Act, 2013
Maharashtra Co-operative Societies (Amendment) Act, 2000, 2001_G_175.txt
Mumbai Municipal Corporation (Second Amendment) Act, 2006
Bombay Provincial Municipal Corporations the City of Nagpur Corporation and the Maharashtra Municipal Councils, Nagai Panchayats and Industrial Townships (Amendment) Act, 2004
Bombay Public Authorities Seals Act, 1883
Bombay Kauli and Katuban Tenures (Abolition) Act, 1953
Essential Commodities (Maharashtra Amendment) Act, 2002
Maharashtra Repealing Act, 2016
Bombay Motor Vehicles Tax (Amendment) Act, 2002
DSK World University Act, 2017
Maharashtra Unauthorized Institutions and Unauthorized Courses of Study in Agriculture, Animal and Fishery Sciences, Health Sciences, Higher, Technical and Vocational Education (Prohibition) Act, 2013
Maharashtra (Urban Areas) [Protection and preservation] of Trees Act, 1975
Bombay Agricultural Debtors Relief Act, 1947, 2001_K_104.txt, 1980_U_4.txt
Bombay Separation of Judicial and Executive Functions (Supplementary) Act, 1954
Maharashtra (Third Supplementary) Appropriation Act, 2006
Maharashtra Co-operative Societies (Amendment) Act, 2008
Bombay Stamp (Amendment) Act, 2005
Maharashtra Land Revenue Code (Second Amendment) Act, 2007
Maharashtra Restoration of name "Mumbai" for "Bombay" Act, 1996
Bombay Shops and Establishments (Amendment) Act, 2011
Mumbai Municipal Corporation (Second Amendment) Act, 2008
Maharashtra Legislative Council (Chairman and Deputy Chairman) and Maharashtra Legislative Assembly (Speaker and Deputy Speaker) Salaries and Allowances, the Maharashtra Ministers Salaries and Allowances, the Maharashtra Legislature Members Salaries and Allowances and the Leaders of Opposition in Maharashtra Legislature Salaries and Allowances (Amendment) Act, 2005
Maharashtra Appropriation Act, 2017
Maharashtra Self-financed Schools (Establishment and Regulation) (Second Amendment) Act, 2013
Bombay Shops and Establishments (Amendment) Act, 2004
Salsette Estates (Land Revenue Exemption Abolition) Act, 1951, 2014_S_363.txt
Pandharpur Development Authority Act, 2009
Bombay Local Authorities Census Expenses Contribution Act, 1950
Maharashtra Ownership Flats (Regulation of the promotion of construction, sale, management and transfer) Act, 1963
Bombay Weights and Measures (Enforcement) Act, 1958
Maharashtra Village Panchayats (Amendment) Act, 2018
Maharashtra Slum Areas (Improvement, Clearance and Redevelopment) (Second Amendment) Act, 2001
Bombay Bhil Naik Inams Abolition Act, 1955
Maharashtra Appropriation (Vote on Account) Act, 2016
Maharashtra Agricultural Produce Marketing (Regulation) (Amendment) Act, 2002
Maharashtra Municipal Councils, Nagar Panchayats and Industrial Townships (Amendment) Act, 2006
Maharashtra Regional and Town Planning (Amendment) Act, 2007
Maharashtra Agricultural Universities (Krishi Vidyapeeths) Act, 1983, 2014_D_66.txt
Bombay Statutory Fund Act, 1959
Bombay Stamp (Amendment) Act, 2009
Maharashtra Godawari Marathwada Irrigation Development Corporation Act, 1998, 2006_S_171.txt
Maharashtra Legislature Members' Pension Act, 1976
Bombay Provincial Municipal Corporations Act, 1949, 1966_S_36.txt, 2006_M_264.txt, 2016_S_82.txt, 2003_M_252.txt, 1978_B_46.txt, 1975_S_149.txt, 1997_M_243.txt, 2003_A_135.txt, 2010_S_407.txt, 2008_M_374.txt, 1993_N_16.txt, 1990_I_16.txt, 1995_B_71.txt, 2016_G_4.txt, 1967_N_19.txt, 2009_L_2.txt, 1989_A_44.txt, 1999_N_62.txt, 1967_S_77.txt, 1976_M_88.txt, 2006_S_734.txt, 1999_G_80.txt, 2003_T_61.txt, 1981_M_71.txt, 2006_S_487.txt
Bombay Primary Education and the Maharashtra Employees of Private Schools (Conditions of Service) Regulation (Amendment) Act, 2007
Bombay Village Panchayats (Second Amendment) Act, 2003
Maharashtra Co-operative Societies (Amendment) Act, 2017
Maharashtra Advocates Welfare Fund Act, 1981
Maharashtra Legislative Council (Chairman and Deputy Chairman) and Maharashtra Legislative Assembly (Speaker and Deputy Speaker) Salaries and Allowances, the Maharashtra Ministers' Salaries and Allowances, the Maharashtra Legislature Members Salaries and Allowances and the Leaders of Opposition in Maharashtra Legislature Salaries and Allowances (Amendment) Act, 2013
Maharashtra Value Added Tax (Amendment and Validation) Act, 2011
Maharashtra Employment Guarantee (Amendment) Act, 2006
Maharashtra Legislature Members Salaries and Allowances Act, 1956
City of Bombay Primary Education Act, 1920
Maharashtra Public Universities (Amendment) Act, 2017
Maharashtra Legislative Council (Chairman and Deputy Chairman) and the Maharashtra Legislative Assembly (Speaker and Deputy Speaker) Salaries and Allowances, the Maharashtra Ministers' Salaries and Allowances, the Maharashtra Legislature Members' Salaries and Allowances, the Maharashtra Legislature Members' Pension and the Leaders of Opposition in Maharashtra Legislature Salaries and Allowances (Amendment) Act, 2016
Maharashtra Zilla Parishads and Panchayat Samitis (Amendment) Act, 2004
